"","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","evenness","celaantal"
"1",10000,1e+06,1e+06,10000,1e+08,1e+08,1e+06,1e+08,10000,10000,1e+06,10000,10000,1e+06,1e+08,10000,0.525619056871446,405070000
"2",1e+06,10000,1e+08,1e+08,1e+08,1e+08,10000,1e+08,1e+06,10000,1e+08,1e+06,1e+08,1e+06,1e+06,1e+06,0.719188766013773,706030000
"3",10000,1e+06,10000,1e+06,10000,1e+06,1e+06,10000,1e+08,1e+06,10000,1e+08,10000,10000,10000,1e+08,0.430389776806991,305080000
"4",1e+08,1e+08,1e+06,10000,1e+08,1e+06,10000,10000,1e+06,10000,1e+08,1e+06,1e+08,1e+08,1e+06,10000,0.663263950170227,605050000
"5",1e+08,1e+06,1e+08,1e+06,10000,1e+06,10000,10000,10000,10000,1e+08,1e+06,10000,1e+08,1e+06,1e+06,0.53045672196968,406060000
"6",10000,10000,1e+06,1e+08,1e+08,1e+08,1e+06,1e+08,1e+06,1e+08,10000,1e+06,1e+06,10000,1e+08,1e+08,0.716393963590229,705040000
"7",10000,1e+08,10000,1e+06,1e+06,1e+08,1e+06,1e+06,1e+06,1e+08,10000,10000,10000,1e+06,10000,1e+06,0.443144001025074,307060000
"8",1e+08,10000,1e+08,1e+08,1e+06,10000,10000,1e+06,1e+06,1e+08,1e+08,1e+06,1e+06,1e+06,10000,10000,0.604841485382906,506050000
"9",1e+08,1e+06,10000,1e+06,1e+06,10000,1e+06,1e+06,10000,1e+06,1e+08,1e+08,1e+06,10000,10000,10000,0.443144001025074,307060000
"10",1e+08,1e+08,1e+08,10000,10000,1e+08,10000,1e+08,1e+06,10000,10000,1e+06,1e+06,10000,1e+08,10000,0.656729496282341,603070000
"11",1e+06,1e+08,1e+06,1e+06,1e+08,1e+08,1e+06,10000,1e+06,1e+06,10000,10000,1e+08,10000,1e+06,1e+08,0.608717588935991,507040000
"12",1e+06,1e+08,1e+06,10000,10000,1e+06,1e+08,1e+06,10000,10000,10000,10000,1e+06,1e+06,10000,1e+08,0.436785629281519,306070000
"13",1e+08,1e+08,1e+06,1e+06,1e+08,1e+06,1e+08,1e+08,1e+06,1e+06,10000,1e+08,10000,10000,1e+08,1e+08,0.762700593188884,805030000
"14",10000,1e+06,1e+06,10000,1e+06,1e+08,10000,1e+08,1e+08,1e+06,1e+08,1e+06,10000,10000,10000,1e+06,0.53045672196968,406060000
"15",10000,1e+06,1e+08,10000,1e+08,10000,10000,1e+08,10000,1e+06,1e+06,10000,10000,1e+08,1e+08,1e+08,0.656729496282341,603070000
"16",1e+06,1e+08,10000,1e+06,1e+08,1e+06,1e+06,1e+08,1e+08,1e+06,1e+08,1e+08,1e+08,1e+06,1e+06,10000,0.721976449788818,707020000
"17",10000,1e+06,1e+06,1e+06,1e+06,10000,1e+06,1e+08,10000,1e+06,1e+08,1e+08,1e+08,1e+06,1e+08,1e+06,0.612579958047937,508030000
"18",10000,1e+06,10000,10000,1e+06,1e+08,1e+08,10000,10000,10000,1e+08,1e+06,10000,1e+08,1e+06,10000,0.520759846791132,404080000
"19",1e+08,1e+08,1e+08,1e+08,10000,10000,1e+06,1e+06,1e+08,1e+08,1e+06,1e+08,10000,10000,1e+06,10000,0.713592013487095,704050000
"20",1e+06,10000,1e+06,10000,1e+06,1e+06,1e+08,1e+06,1e+08,10000,1e+06,1e+08,10000,1e+06,1e+06,1e+06,0.455749695019535,309040000
"21",1e+08,1e+06,1e+06,10000,1e+06,1e+06,10000,1e+06,10000,1e+08,1e+08,1e+08,1e+06,1e+06,1e+08,10000,0.608717588935991,507040000
"22",1e+08,1e+06,1e+08,1e+06,1e+06,1e+08,1e+06,10000,1e+08,10000,10000,10000,10000,1e+08,10000,1e+08,0.660001593527544,604060000
"23",10000,10000,10000,1e+08,1e+08,1e+08,1e+06,1e+08,1e+08,10000,10000,1e+06,1e+08,10000,1e+06,1e+06,0.660001593527544,604060000
"24",1e+06,1e+06,1e+06,1e+06,1e+08,1e+08,1e+08,1e+08,1e+06,10000,1e+06,1e+08,1e+08,10000,1e+06,10000,0.669759625974003,607030000
"25",1e+06,10000,1e+06,10000,1e+08,1e+06,1e+08,10000,1e+06,1e+08,1e+08,1e+06,1e+06,1e+06,1e+08,1e+06,0.612579958047937,508030000
"26",10000,1e+08,1e+06,10000,1e+08,1e+08,10000,1e+08,1e+06,1e+08,10000,1e+06,1e+08,10000,1e+06,1e+06,0.663263950170227,605050000
"27",1e+08,1e+08,10000,1e+08,1e+06,1e+06,1e+06,1e+06,10000,1e+06,10000,1e+06,10000,1e+06,1e+06,1e+06,0.455749695019535,309040000
"28",10000,1e+08,1e+06,1e+08,1e+06,10000,1e+06,1e+06,1e+08,1e+08,1e+08,1e+06,1e+06,10000,1e+06,10000,0.608717588935991,507040000
"29",1e+08,1e+08,10000,1e+06,10000,1e+06,10000,10000,1e+08,1e+06,10000,10000,1e+06,1e+08,10000,1e+06,0.525619056871446,405070000
"30",1e+08,10000,1e+08,1e+06,10000,1e+08,1e+08,1e+06,1e+08,1e+06,1e+06,1e+06,1e+08,1e+06,1e+06,10000,0.669759625974003,607030000
"31",1e+08,10000,1e+06,1e+08,10000,10000,1e+08,10000,10000,1e+06,1e+08,10000,1e+06,10000,1e+06,10000,0.520759846791132,404080000
"32",1e+08,10000,10000,1e+08,1e+06,10000,10000,1e+06,1e+08,10000,1e+08,1e+08,1e+08,10000,10000,1e+08,0.707966553313039,702070000
"33",10000,10000,1e+08,10000,1e+08,1e+08,10000,10000,1e+06,1e+08,10000,1e+06,1e+06,1e+08,1e+08,1e+06,0.660001593527544,604060000
"34",10000,1e+06,1e+08,10000,1e+06,10000,10000,10000,1e+08,1e+08,1e+06,1e+08,1e+06,1e+06,1e+06,1e+08,0.604841485382906,506050000
"35",1e+06,1e+06,1e+06,1e+08,1e+06,1e+08,10000,1e+08,1e+08,1e+06,1e+08,1e+08,10000,1e+08,10000,10000,0.716393963590229,705040000
"36",10000,1e+08,1e+06,10000,10000,1e+08,1e+06,1e+06,1e+06,1e+06,10000,1e+06,1e+08,1e+08,1e+06,10000,0.535272994059648,407050000
"37",1e+06,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+06,1e+08,10000,1e+08,1e+08,1e+08,1e+08,0.928244054304413,1302010000
"38",1e+08,10000,10000,10000,1e+08,1e+08,1e+06,1e+06,10000,10000,10000,1e+06,1e+06,1e+06,1e+08,10000,0.525619056871446,405070000
"39",10000,1e+08,10000,1e+06,1e+08,1e+08,10000,1e+08,1e+06,10000,1e+08,1e+06,10000,10000,1e+06,1e+08,0.660001593527544,604060000
"40",1e+08,1e+08,10000,10000,1e+08,10000,1e+06,1e+08,1e+08,1e+08,1e+06,1e+06,1e+08,1e+08,10000,1e+08,0.799362526046024,903040000
"41",1e+06,1e+08,10000,10000,10000,1e+08,1e+06,1e+08,1e+08,1e+08,1e+08,1e+08,1e+06,1e+06,10000,1e+06,0.716393963590229,705040000
"42",10000,1e+08,1e+06,1e+08,1e+06,1e+06,1e+08,1e+08,1e+08,1e+06,1e+06,1e+08,1e+08,1e+08,10000,1e+06,0.76515052705793,806020000
"43",10000,1e+06,1e+06,10000,1e+06,10000,1e+06,1e+06,1e+06,10000,1e+06,1e+08,10000,1e+08,1e+06,1e+06,0.338264200904051,209050000
"44",1e+06,1e+06,1e+08,1e+06,1e+06,10000,1e+06,10000,10000,1e+06,10000,1e+06,10000,1e+06,10000,1e+08,0.329072689799807,208060000
"45",10000,1e+06,10000,1e+06,10000,1e+08,10000,1e+06,1e+08,10000,1e+06,1e+08,1e+08,1e+08,10000,10000,0.597047762091655,504070000
"46",1e+08,10000,1e+06,10000,10000,10000,10000,10000,10000,1e+08,10000,1e+06,10000,10000,1e+08,1e+08,0.510976176435404,402100000
"47",1e+08,1e+06,1e+06,1e+08,1e+08,10000,10000,10000,10000,1e+06,1e+08,10000,10000,1e+08,1e+08,1e+08,0.710782886512574,703060000
"48",1e+06,1e+08,10000,10000,1e+06,1e+06,1e+06,1e+06,10000,1e+08,1e+06,1e+08,1e+06,10000,1e+06,10000,0.449465241312252,308050000
"49",10000,1e+08,10000,1e+08,1e+08,10000,1e+06,1e+08,1e+08,10000,10000,1e+06,1e+06,1e+06,1e+06,10000,0.600951569323935,505060000
"50",10000,1e+08,1e+08,1e+06,1e+08,1e+08,1e+06,10000,1e+08,10000,1e+08,1e+06,10000,1e+08,10000,10000,0.710782886512574,703060000
"51",1e+06,10000,1e+08,1e+06,1e+08,1e+08,10000,1e+06,1e+06,1e+08,1e+08,10000,1e+06,1e+06,1e+06,10000,0.608717588935991,507040000
"52",1e+06,1e+06,1e+08,10000,1e+06,1e+06,1e+06,10000,1e+06,1e+08,1e+08,10000,10000,10000,1e+06,10000,0.443144001025074,307060000
"53",1e+08,10000,1e+06,1e+08,10000,1e+06,1e+08,10000,10000,1e+06,1e+06,1e+08,1e+08,1e+08,1e+06,10000,0.663263950170227,605050000
"54",1e+06,10000,1e+06,10000,1e+08,1e+08,1e+06,1e+06,1e+06,10000,10000,10000,10000,1e+06,1e+06,1e+06,0.329072689799807,208060000
"55",10000,1e+06,1e+06,10000,1e+08,1e+06,1e+06,1e+06,1e+06,1e+06,10000,1e+08,10000,10000,1e+06,10000,0.329072689799807,208060000
"56",10000,10000,10000,1e+06,10000,10000,10000,1e+06,1e+06,1e+08,10000,1e+06,10000,10000,1e+06,10000,0.100119668720904,105100000
"57",10000,10000,1e+06,1e+06,10000,10000,10000,1e+06,1e+08,10000,10000,10000,10000,1e+06,1e+06,10000,0.100119668720904,105100000
"58",1e+08,1e+06,1e+08,1e+06,10000,1e+06,1e+06,1e+06,1e+06,10000,1e+08,10000,1e+08,10000,1e+08,1e+08,0.666516612365869,606040000
"59",10000,1e+06,10000,1e+06,10000,1e+08,10000,10000,1e+06,1e+06,10000,1e+06,1e+06,10000,10000,10000,0.118077355933976,106090000
"60",1e+08,10000,1e+08,10000,10000,1e+06,10000,1e+06,10000,10000,1e+08,10000,10000,1e+08,10000,10000,0.510976176435404,402100000
"61",10000,1e+06,1e+08,1e+08,1e+06,10000,10000,10000,10000,10000,10000,1e+06,10000,1e+08,1e+08,10000,0.515878938287775,403090000
"62",1e+06,10000,1e+08,1e+06,1e+06,1e+06,1e+08,1e+08,10000,1e+06,10000,1e+06,1e+06,1e+08,10000,1e+06,0.540068023665638,408040000
"63",10000,1e+08,1e+06,10000,10000,1e+08,1e+06,10000,1e+06,1e+06,10000,1e+08,1e+08,10000,10000,10000,0.520759846791132,404080000
"64",1e+08,1e+08,10000,10000,1e+08,10000,1e+06,1e+06,1e+06,1e+06,10000,10000,1e+06,1e+08,1e+08,10000,0.600951569323935,505060000
"65",1e+08,1e+06,1e+06,10000,1e+08,10000,10000,1e+06,10000,10000,1e+08,10000,1e+08,1e+08,10000,1e+06,0.597047762091655,504070000
"66",1e+08,1e+08,1e+08,1e+06,1e+06,10000,10000,1e+06,1e+08,1e+08,1e+08,10000,1e+06,1e+06,10000,1e+08,0.716393963590229,705040000
"67",1e+08,1e+08,1e+08,1e+06,1e+06,10000,1e+06,1e+08,10000,1e+08,1e+06,1e+06,1e+08,1e+06,1e+06,10000,0.669759625974003,607030000
"68",10000,10000,1e+06,10000,1e+06,10000,1e+06,1e+06,1e+06,1e+06,10000,1e+08,1e+06,10000,1e+06,1e+06,0.170176463360743,109060000
"69",1e+08,10000,10000,10000,10000,1e+06,1e+06,1e+06,1e+08,1e+06,1e+06,1e+06,1e+06,10000,10000,10000,0.319801494656443,207070000
"70",10000,10000,1e+08,1e+06,1e+06,1e+06,10000,1e+06,1e+08,10000,1e+06,1e+06,1e+08,1e+08,1e+08,1e+08,0.666516612365869,606040000
"71",1e+08,1e+08,1e+08,10000,1e+08,1e+08,1e+08,10000,10000,1e+08,10000,10000,1e+08,10000,1e+08,1e+08,0.830702967225737,1000060000
"72",1e+08,10000,1e+08,10000,10000,1e+06,10000,1e+08,1e+06,1e+06,1e+08,10000,10000,1e+08,10000,1e+08,0.656729496282341,603070000
"73",1e+06,1e+08,10000,1e+08,10000,10000,10000,10000,10000,1e+08,1e+08,10000,1e+08,10000,1e+08,10000,0.65015589386827,601090000
"74",1e+06,1e+08,1e+06,1e+08,1e+08,1e+08,1e+06,10000,1e+06,1e+06,1e+08,10000,10000,10000,1e+06,1e+08,0.666516612365869,606040000
"75",10000,10000,10000,10000,10000,1e+08,10000,1e+06,1e+08,1e+08,1e+06,1e+08,10000,1e+06,1e+06,1e+08,0.597047762091655,504070000
"76",1e+08,1e+08,10000,1e+06,1e+08,1e+06,1e+06,10000,1e+06,1e+08,1e+08,10000,1e+08,1e+06,1e+06,10000,0.666516612365869,606040000
"77",1e+06,1e+06,10000,10000,10000,10000,10000,1e+08,1e+08,10000,10000,1e+06,10000,10000,1e+06,1e+06,0.301015595301137,205090000
"78",1e+08,1e+08,10000,10000,10000,1e+08,1e+08,1e+06,1e+06,10000,1e+08,1e+08,1e+06,1e+08,1e+06,10000,0.713592013487095,704050000
"79",10000,10000,1e+08,1e+06,1e+06,1e+08,1e+08,10000,1e+06,1e+08,1e+06,10000,10000,10000,10000,1e+08,0.597047762091655,504070000
"80",10000,1e+06,10000,1e+06,1e+06,10000,1e+06,1e+08,1e+06,1e+06,10000,1e+06,10000,1e+06,1e+06,10000,0.170176463360743,109060000
"81",1e+06,10000,1e+06,1e+06,1e+08,1e+08,10000,10000,10000,1e+08,1e+06,1e+08,1e+08,10000,1e+06,1e+06,0.604841485382906,506050000
"82",10000,10000,1e+08,10000,1e+08,1e+06,1e+08,10000,1e+06,1e+08,1e+06,1e+06,1e+06,1e+06,10000,1e+06,0.535272994059648,407050000
"83",1e+06,1e+08,1e+08,1e+08,1e+08,1e+08,1e+06,1e+08,1e+06,10000,10000,1e+06,1e+08,1e+06,10000,1e+06,0.719188766013773,706030000
"84",10000,1e+06,10000,10000,1e+06,1e+06,1e+06,10000,1e+06,10000,1e+08,1e+08,1e+06,1e+08,1e+06,1e+06,0.449465241312252,308050000
"85",10000,1e+08,1e+06,10000,10000,10000,1e+08,10000,10000,1e+06,1e+06,1e+08,1e+08,1e+06,1e+08,1e+06,0.600951569323935,505060000
"86",1e+06,1e+08,1e+06,1e+06,1e+08,1e+06,1e+08,10000,10000,10000,1e+06,1e+06,10000,10000,10000,1e+06,0.443144001025074,307060000
"87",1e+06,1e+06,1e+08,10000,10000,10000,10000,10000,1e+06,10000,1e+06,1e+06,10000,1e+08,1e+06,1e+06,0.319801494656443,207070000
"88",1e+08,1e+08,10000,1e+08,10000,10000,1e+08,10000,10000,1e+08,1e+06,10000,1e+06,1e+06,1e+08,1e+08,0.710782886512574,703060000
"89",1e+08,1e+08,10000,1e+08,10000,10000,10000,10000,1e+08,1e+06,1e+08,10000,1e+06,10000,1e+06,1e+06,0.597047762091655,504070000
"90",1e+08,1e+06,10000,10000,10000,1e+06,10000,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,0.834664820486125,1002040000
"91",1e+06,1e+06,10000,1e+08,1e+08,10000,10000,1e+06,1e+08,1e+06,10000,1e+06,1e+08,10000,1e+06,1e+06,0.535272994059648,407050000
"92",10000,1e+08,1e+08,10000,10000,10000,10000,10000,10000,1e+08,10000,10000,1e+08,10000,1e+06,1e+06,0.510976176435404,402100000
"93",1e+08,10000,10000,10000,1e+06,1e+06,10000,1e+08,1e+08,10000,10000,1e+08,1e+08,1e+08,1e+08,1e+08,0.755317791067496,802060000
"94",10000,1e+06,1e+06,1e+08,1e+08,1e+08,10000,1e+06,10000,1e+06,1e+08,1e+08,10000,1e+08,10000,1e+06,0.663263950170227,605050000
"95",1e+08,1e+06,1e+08,10000,1e+08,1e+08,1e+08,1e+06,1e+06,10000,1e+08,1e+08,1e+06,10000,10000,10000,0.713592013487095,704050000
"96",10000,1e+06,1e+06,1e+06,10000,1e+08,10000,10000,10000,10000,10000,1e+08,1e+06,10000,1e+06,1e+08,0.430389776806991,305080000
"97",1e+08,1e+08,10000,1e+06,1e+06,1e+06,10000,1e+08,1e+08,10000,1e+06,1e+08,10000,10000,10000,10000,0.597047762091655,504070000
"98",1e+08,1e+06,10000,10000,1e+06,1e+08,1e+06,1e+08,1e+06,1e+08,10000,10000,1e+06,1e+06,1e+08,10000,0.604841485382906,506050000
"99",1e+06,1e+08,10000,1e+06,1e+08,1e+06,1e+06,1e+08,1e+06,1e+06,10000,1e+06,1e+06,1e+06,1e+08,10000,0.544841959879759,409030000
"100",1e+06,1e+06,1e+08,10000,1e+08,1e+06,1e+08,1e+08,10000,10000,1e+08,10000,1e+08,1e+06,10000,10000,0.660001593527544,604060000
