,S_rhodo1,S_lacto,S_termite,S_rhodo2,S_deino,S_anthracis,S_bacillus,S_flavo,S_glucono,S_acineto,S_cereus,S_soda,S_vibrio,S_caldi,S_gardner,S_burkho,S_para,S_rhizobium,S_desulfo,S_agro
S_rhodo1,992.0263819039201,780.2161715605109,635.2768083269578,863.8763061562761,838.2687436306875,908.6536084577806,893.8631431728193,860.1032858214276,723.5113560306296,886.4094831467847,913.4980599916297,822.3559035642783,848.0420289815355,818.9492708390503,601.2213275934315,936.2973596548416,947.9507235273488,957.8682133756699,812.233149606016,951.2570354735516
S_lacto,780.2161715605109,921.026458925182,606.9252050913145,728.8092527971229,770.1759859611981,848.1822201727144,819.8860307088739,759.7976919500735,669.6392975934732,766.5508246226541,868.9878416049233,775.3142442058906,779.8195107841407,735.8851470382671,585.5553134304148,825.1847522793116,801.7077397110918,827.0162889078631,740.946854434452,830.4134658796047
S_termite,635.2768083269578,606.9252050913145,685.5698473969704,614.5778115062167,602.9977404919981,652.0033353631698,650.1879172311798,629.0471883920188,614.4314530857985,656.0950796651216,655.6159143507871,652.3932969295375,646.6921518881293,650.8873949567603,446.47622699591,668.417645183329,667.9731180472536,667.7155593680544,657.7347135666098,662.6037334157336
S_rhodo2,863.8763061562761,728.8092527971229,614.5778115062167,1090.2071557825943,787.0247904470748,903.8777152416346,852.9991509311473,908.047183019599,718.4560657762911,836.5813555806449,903.249010304362,794.2247424871184,803.179471396385,817.5084714378116,650.3117416015142,876.6439449180826,888.8628992102467,922.4401418469927,826.5490271725295,923.157190338709
S_deino,838.2687436306875,770.1759859611981,602.9977404919981,787.0247904470748,938.380623981573,854.591481514842,846.751109924446,821.5361548271958,684.617834083666,835.3287696172027,869.8841449169952,804.4086930868965,824.7479909641562,792.2274760832014,587.9986615852849,894.1993846984157,859.2831723748835,884.2605473693202,756.3587269260805,886.8990931628026
S_anthracis,908.6536084577806,848.1822201727144,652.0033353631698,903.8777152416346,854.591481514842,1245.1618551284002,1019.5299136112914,960.3513661429665,741.3621944280848,931.2989335956484,1134.8372557447608,897.1495537055331,904.0692304932109,879.6072585942704,703.5220677031446,992.7899957165071,970.551284447755,991.0919460213845,883.192101885287,1012.5357907846573
S_bacillus,893.8631431728193,819.8860307088739,650.1879172311798,852.9991509311473,846.751109924446,1019.5299136112914,1159.5744386766999,898.8301313851262,725.0701092282105,891.2776821416348,1006.5942392021824,876.3644062686442,882.9701309750532,877.0471303349411,644.9182044434644,960.338407000306,933.5289065194285,965.6899015116469,865.2635471572917,988.1939284077434
S_flavo,860.1032858214276,759.7976919500735,629.0471883920188,908.047183019599,821.5361548271958,960.3513661429665,898.8301313851262,1247.7251597636957,728.4667874677378,881.4277294214731,979.5561717661981,862.458562714351,859.520051880945,849.7052491649156,697.6970862948956,933.1343183084442,903.4760078963217,963.160597502846,840.4871127663739,953.1826280129922
S_glucono,723.5113560306296,669.6392975934732,614.4314530857985,718.4560657762911,684.617834083666,741.3621944280848,725.0701092282105,728.4667874677378,820.4850830886447,751.9663467124763,745.7728472578474,753.3537209659104,750.2547000403805,710.9961825491584,500.5127068923836,770.8652198683872,762.7231302093863,777.371622813869,746.9553646437735,791.3854975689824
S_acineto,886.4094831467847,766.5508246226541,656.0950796651216,836.5813555806449,835.3287696172027,931.2989335956484,891.2776821416348,881.4277294214731,751.9663467124763,1013.882952388626,937.0132498526015,855.0087274423082,896.4283384321722,842.9801858160876,619.645276770302,965.3894190606923,953.9942397853125,959.3367436344889,826.7696735338392,948.9840532769932
S_cereus,913.4980599916297,868.9878416049233,655.6159143507871,903.249010304362,869.8841449169952,1134.8372557447608,1006.5942392021824,979.5561717661981,745.7728472578474,937.0132498526015,1260.286957167865,921.9890308554378,910.7978634241288,878.280188106718,700.4348535508356,1009.3551237073902,976.5070883330995,1018.9011622765122,854.0435971208634,1035.6251313548512
S_soda,822.3559035642783,775.3142442058906,652.3932969295375,794.2247424871184,804.4086930868965,897.1495537055331,876.3644062686442,862.458562714351,753.3537209659104,855.0087274423082,921.9890308554378,1076.7443035949643,857.1507971115852,836.8906331207677,614.0922240495278,918.8719617923343,872.7738481173863,910.7569020150348,826.1033995189471,937.3881634511129
S_vibrio,848.0420289815355,779.8195107841407,646.6921518881293,803.179471396385,824.7479909641562,904.0692304932109,882.9701309750532,859.520051880945,750.2547000403805,896.4283384321722,910.7978634241288,857.1507971115852,987.321637381028,816.8679508984293,608.6640823231716,923.0542801824398,892.0844909366776,908.1705660272607,806.1560423928382,912.1926054165821
S_caldi,818.9492708390503,735.8851470382671,650.8873949567603,817.5084714378116,792.2274760832014,879.6072585942704,877.0471303349411,849.7052491649156,710.9961825491584,842.9801858160876,878.280188106718,836.8906331207677,816.8679508984293,1062.5944547569713,631.7215431376932,888.9872034175048,862.1948137846294,888.9722166377288,832.2659235375231,899.5212057255466
S_gardner,601.2213275934315,585.5553134304148,446.47622699591,650.3117416015142,587.9986615852849,703.5220677031446,644.9182044434644,697.6970862948956,500.5127068923836,619.645276770302,700.4348535508356,614.0922240495278,608.6640823231716,631.7215431376932,947.9351140721775,681.4379320901006,643.0394484119278,666.0441960367087,604.0800249951707,678.5713854242747
S_burkho,936.2973596548416,825.1847522793116,668.417645183329,876.6439449180826,894.1993846984157,992.7899957165071,960.338407000306,933.1343183084442,770.8652198683872,965.3894190606923,1009.3551237073902,918.8719617923343,923.0542801824398,888.9872034175048,681.4379320901006,1164.0870781161614,1013.2330893918881,1020.9718194054591,870.0258483391746,1041.1774447735652
S_para,947.9507235273488,801.7077397110918,667.9731180472536,888.8628992102467,859.2831723748835,970.551284447755,933.5289065194285,903.4760078963217,762.7231302093863,953.9942397853125,976.5070883330995,872.7738481173863,892.0844909366776,862.1948137846294,643.0394484119278,1013.2330893918881,1079.4248215342834,1021.298234147736,864.82101501396,1014.6164946046042
S_rhizobium,957.8682133756699,827.0162889078631,667.7155593680544,922.4401418469927,884.2605473693202,991.0919460213845,965.6899015116469,963.160597502846,777.371622813869,959.3367436344889,1018.9011622765122,910.7569020150348,908.1705660272607,888.9722166377288,666.0441960367087,1020.9718194054591,1021.298234147736,1170.8691741239709,871.3777501224134,1068.5261659954479
S_desulfo,812.233149606016,740.946854434452,657.7347135666098,826.5490271725295,756.3587269260805,883.192101885287,865.2635471572917,840.4871127663739,746.9553646437735,826.7696735338392,854.0435971208634,826.1033995189471,806.1560423928382,832.2659235375231,604.0800249951707,870.0258483391746,864.82101501396,871.3777501224134,1030.3721519361432,866.2215651325978
S_agro,951.2570354735516,830.4134658796047,662.6037334157336,923.157190338709,886.8990931628026,1012.5357907846573,988.1939284077434,953.1826280129922,791.3854975689824,948.9840532769932,1035.6251313548512,937.3881634511129,912.1926054165821,899.5212057255466,678.5713854242747,1041.1774447735652,1014.6164946046042,1068.5261659954479,866.2215651325978,1176.5548227850609
